latitude,longitude,km
-34.6085387,-58.40980152,258
-34.60853922,-58.40981242,259
-34.60853976,-58.40982331,260
-34.6085403,-58.40983419,261
-34.60854079,-58.40984508,262
-34.60854133,-58.40985597,263
-34.6085419,-58.40986685,264
-34.60854242,-58.40987774,265
-34.60854289,-58.40988864,266
-34.60854345,-58.40989952,267
-34.60854401,-58.40991041,268
-34.60854447,-58.4099213,269
-34.60854496,-58.4099322,270
-34.60854551,-58.40994309,271
-34.608546,-58.40995399,272
-34.60854645,-58.40996488,273
-34.60854698,-58.40997575,274
-34.60854752,-58.40998664,275
-34.60854798,-58.4099975,276
-34.60854848,-58.41000838,277
-34.60854903,-58.41001925,278
-34.60854955,-58.41003013,279
-34.60855002,-58.41004101,280
-34.60855057,-58.41005188,281
-34.60855113,-58.41006276,282
-34.60855161,-58.41007363,283
-34.60855215,-58.41008451,284
-34.60855274,-58.41009539,285
-34.60855325,-58.41010627,286
-34.60855376,-58.41011716,287
-34.60855434,-58.41012805,288
-34.60855485,-58.41013893,289
-34.60855534,-58.41014981,290
-34.60855589,-58.41016068,291
-34.60855639,-58.41017156,292
-34.60855687,-58.41018244,293
-34.60855741,-58.41019331,294
-34.6085579,-58.41020419,295
-34.60855839,-58.41021507,296
-34.60855892,-58.41022595,297
-34.60855941,-58.41023683,298
-34.60855992,-58.41024771,299
-34.60856044,-58.4102586,300
-34.60856095,-58.41026949,301
-34.60856147,-58.41028039,302
-34.608562,-58.41029129,303
-34.60856252,-58.41030217,304
-34.60856306,-58.41031307,305
-34.60856361,-58.41032395,306
-34.60856414,-58.41033484,307
-34.60856469,-58.41034572,308
-34.60856523,-58.4103566,309
-34.60856576,-58.41036747,310
-34.60856629,-58.41037834,311
-34.60856614,-58.41038924,312
-34.60856665,-58.4104001,313
-34.60856723,-58.41041097,314
-34.60856776,-58.41042186,315
-34.60856829,-58.41043273,316
-34.60856877,-58.41044361,317
-34.60856934,-58.41045448,318
-34.60856985,-58.41046536,319
-34.60857038,-58.41047625,320
-34.60857088,-58.41048714,321
-34.6085714,-58.41049803,322
-34.60857189,-58.41050893,323
-34.60857238,-58.41051982,324
-34.60857292,-58.41053072,325
-34.60857341,-58.41054162,326
-34.6085739,-58.41055251,327
-34.60857442,-58.4105634,328
-34.60857491,-58.41057429,329
-34.60857538,-58.41058518,330
-34.60857587,-58.41059608,331
-34.60857636,-58.41060697,332
-34.60857684,-58.41061786,333
-34.60857733,-58.41062875,334
-34.60857784,-58.41063962,335
-34.60857833,-58.41065049,336
-34.60857881,-58.41066135,337
-34.60857933,-58.41067222,338
-34.60857984,-58.41068309,339
-34.60858033,-58.41069396,340
-34.60858086,-58.41070483,341
-34.60858139,-58.4107157,342
-34.6085819,-58.41072658,343
-34.60858243,-58.41073746,344
-34.60858296,-58.41074835,345
-34.60858347,-58.41075925,346
-34.60858399,-58.41077014,347
-34.60858451,-58.41078105,348
-34.60858501,-58.41079195,349
-34.6085855,-58.41080287,350
-34.608586,-58.41081378,351
-34.60858647,-58.4108247,352
-34.60858693,-58.41083562,353
-34.6085874,-58.41084652,354
-34.60858787,-58.41085741,355
-34.60858833,-58.4108683,356
-34.60858881,-58.41087918,357
-34.60858928,-58.41089006,358
-34.60858976,-58.41090095,359
-34.60859023,-58.41091183,360
-34.60859072,-58.41092271,361
-34.60859123,-58.41093358,362
-34.60859176,-58.41094443,363
-34.6085923,-58.4109553,364
-34.60859286,-58.41096617,365
-34.60859342,-58.41097705,366
-34.60859398,-58.41098794,367
-34.60859454,-58.41099882,368
-34.60859508,-58.4110097,369
-34.60859563,-58.41102056,370
-34.60859616,-58.41103143,371
-34.6085967,-58.41104229,372
-34.60859722,-58.41105317,373
-34.60859772,-58.41106408,374
-34.60859824,-58.41107496,375
-34.60859872,-58.41108586,376
-34.60859918,-58.41109676,377
-34.60859966,-58.41110764,378
-34.60860013,-58.41111852,379
-34.60860057,-58.41112941,380
-34.60860103,-58.41114032,381
-34.60860153,-58.41115122,382
-34.60860201,-58.41116214,383
-34.60860249,-58.41117306,384
-34.60860298,-58.41118396,385
-34.60860352,-58.41119485,386
-34.60860402,-58.41120574,387
-34.60860445,-58.41121663,388
-34.60860496,-58.41122751,389
-34.6086055,-58.4112384,390
-34.608606,-58.41124928,391
-34.60860649,-58.41126017,392
-34.60860698,-58.41127105,393
-34.60860749,-58.41128192,394
-34.60860802,-58.41129279,395
-34.60860853,-58.41130366,396
-34.60860906,-58.41131453,397
-34.60860958,-58.41132538,398
-34.60861009,-58.41133627,399
-34.60861061,-58.41134716,400
-34.60861113,-58.41135805,401
-34.60861165,-58.41136895,402
-34.60861216,-58.41137985,403
-34.60861265,-58.41139074,404
-34.60861314,-58.41140163,405
-34.60861367,-58.41141252,406
-34.60861418,-58.4114234,407
-34.60861466,-58.41143431,408
-34.60861513,-58.41144521,409
-34.60861564,-58.41145608,410
-34.60861615,-58.41146698,411
-34.60861663,-58.41147788,412
-34.60861712,-58.41148877,413
-34.60861766,-58.41149967,414
-34.60861819,-58.41151057,415
-34.60861868,-58.41152146,416
-34.60861918,-58.41153235,417
-34.60861971,-58.41154323,418
-34.60862023,-58.4115541,419
-34.60862073,-58.41156499,420
-34.60862124,-58.41157588,421
-34.60862179,-58.41158676,422
-34.60862231,-58.41159764,423
-34.60862286,-58.41160852,424
-34.6086234,-58.41161938,425
-34.60862392,-58.41163025,426
-34.60862444,-58.41164112,427
-34.60862498,-58.41165199,428
-34.6086255,-58.41166288,429
-34.60862601,-58.41167377,430
-34.60862653,-58.41168466,431
-34.60862702,-58.41169556,432
-34.60862751,-58.41170644,433
-34.60862799,-58.41171732,434
-34.60862845,-58.4117282,435
-34.60862891,-58.41173906,436
-34.60862939,-58.41174993,437
-34.60862988,-58.41176079,438
-34.60863036,-58.41177165,439
-34.60863087,-58.41178251,440
-34.60863136,-58.41179338,441
-34.6086312,-58.41180423,442
-34.6086309,-58.41179337,443
-34.60863049,-58.4117825,444
-34.60863009,-58.41177163,445
-34.6086297,-58.41176076,446
-34.60862933,-58.4117499,447
-34.60862977,-58.41173905,448
-34.60863024,-58.41174991,449
-34.60863077,-58.41176076,450
-34.60863123,-58.41177162,451
-34.60863178,-58.41178248,452
-34.60863225,-58.41179334,453
-34.60863277,-58.41180421,454
-34.60863331,-58.41181508,455
-34.60863372,-58.41182596,456
-34.60863425,-58.41183683,457
-34.60863476,-58.41184771,458
-34.60863518,-58.41185859,459
-34.60863575,-58.41186947,460
-34.60863639,-58.41188035,461
-34.60863707,-58.41189121,462
-34.60863783,-58.41190207,463
-34.60863851,-58.41191293,464
-34.60863912,-58.41192378,465
-34.6086398,-58.41193464,466
-34.60864049,-58.41194549,467
-34.60864108,-58.41195636,468
-34.60864163,-58.41196724,469
-34.60864223,-58.41197812,470
-34.60864282,-58.41198901,471
-34.60864333,-58.41199991,472
-34.60864383,-58.41201083,473
-34.60864438,-58.41202173,474
-34.6086449,-58.41203265,475
-34.60864537,-58.41204356,476
-34.60864589,-58.41205447,477
-34.60864645,-58.41206537,478
-34.60864694,-58.41207626,479
-34.60864743,-58.41208715,480
-34.608648,-58.41209801,481
-34.60864851,-58.41210888,482
-34.60864896,-58.41211974,483
-34.6086495,-58.4121306,484
-34.60865004,-58.41214146,485
-34.6086505,-58.41215234,486
-34.60865101,-58.41216322,487
-34.6086516,-58.41217409,488
-34.6086521,-58.41218497,489
-34.6086526,-58.41219585,490
-34.6086532,-58.41220673,491
-34.60865373,-58.41221762,492
-34.60865422,-58.41222851,493
-34.60865477,-58.4122394,494
-34.60865532,-58.4122503,495
-34.60865578,-58.41226121,496
-34.60865627,-58.41227211,497
-34.60865681,-58.41228299,498
-34.60865727,-58.41229388,499
-34.60865774,-58.41230475,500
-34.60865827,-58.41231563,501
-34.60865877,-58.41232651,502
-34.60865923,-58.4123374,503
-34.60865977,-58.41234828,504
-34.60866031,-58.41235916,505
-34.60866077,-58.41237003,506
-34.6086613,-58.4123809,507
-34.60866184,-58.41239177,508
-34.60866231,-58.41240265,509
-34.60866279,-58.41241355,510
-34.60866333,-58.41242445,511
-34.60866382,-58.41243534,512
-34.60866429,-58.41244625,513
-34.60866483,-58.41245713,514
-34.60866535,-58.41246801,515
-34.6086658,-58.41247889,516
-34.60866631,-58.41248977,517
-34.60866684,-58.41250066,518
-34.60866729,-58.41251155,519
-34.60866778,-58.41252244,520
-34.60866832,-58.41253332,521
-34.60866878,-58.41254419,522
-34.60866924,-58.41255508,523
-34.60866978,-58.41256594,524
-34.60867028,-58.41257683,525
